sampleid    Group
HBR_Rep1    HBR_Rep
HBR_Rep2    HBR_Rep
HBR_Rep3    HBR_Rep
UHR_Rep1    UHR_Rep
UHR_Rep2    UHR_Rep
UHR_Rep3    UHR_Rep
