"Sample","PCoA1","PCoA2"
"SD02_K555",-0.480290885444141,-0.0778033854525425
"SD02_K551",-0.497425758306877,-0.0522705027305417
"SD02_K1050",0.389152386771843,-0.290465169970123
"SD02_K528",-0.108105745156085,-0.169019033363125
"SD02_K552",-0.344273387210099,-0.083739980513177
"SD02_K1036",0.388169218990291,-0.230491200046176
"SD02_K1031",0.251971081539961,-0.165981484954703
"SD02_K531",0.0579514093650901,-0.0740383492002198
"SD02_K519",0.0661815497438806,0.258664174331288
"SD02_K512",0.145971626677947,0.349746669106425
"SD02_K530",0.130698503028188,0.535398262792895
