#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_281	21	30	7	21	12	19	25	22	10	16	18	23	17	16	10	13	15	13
OTU_2810	1	1	2	2	0	3	3	0	0	0	0	0	2	0	1	0	0	0
OTU_2811	3	3	4	1	0	7	4	4	3	5	3	4	2	4	3	1	3	7
OTU_2812	0	2	0	1	0	1	3	0	2	1	3	1	0	0	1	0	2	2
OTU_2813	2	3	3	1	0	0	6	2	3	3	3	3	2	1	2	0	1	0
OTU_2815	0	3	0	0	0	1	1	8	2	1	0	4	2	1	2	1	1	0
OTU_2817	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6
OTU_2818	0	3	1	1	0	0	0	4	0	0	0	3	1	2	0	1	0	1
OTU_2819	0	1	0	0	0	0	5	2	2	2	3	1	2	0	3	1	1	2
OTU_282	33	25	64	30	83	39	19	57	11	12	21	17	16	13	48	16	26	19
OTU_2821	0	1	0	0	1	0	0	1	3	0	0	0	2	0	1	0	1	0
OTU_2822	1	5	1	0	0	1	1	2	0	2	3	5	0	1	1	2	1	1
OTU_2823	6	14	11	6	5	11	11	4	7	8	3	10	8	11	5	8	2	4
OTU_2824	4	3	5	1	0	4	2	2	3	1	2	2	1	0	0	0	2	2
OTU_2825	3	2	2	1	0	0	0	2	2	1	0	3	0	3	1	2	0	2
OTU_2826	1	2	0	0	2	0	0	0	1	0	2	0	1	0	1	1	1	2
OTU_2829	1	3	8	2	1	0	2	3	3	2	3	3	0	1	1	0	0	1
OTU_283	23	23	9	11	7	8	22	13	16	14	22	22	18	27	20	11	29	16
OTU_2830	0	2	0	0	0	0	0	2	1	0	1	2	1	0	2	2	0	0
OTU_2831	3	2	0	4	0	2	3	1	3	3	1	2	1	2	2	0	2	0
OTU_2833	0	1	1	2	0	0	1	0	1	2	1	0	0	1	1	1	0	1
OTU_2834	2	1	1	0	1	2	4	2	3	1	1	2	0	0	2	0	2	2
OTU_2835	1	0	8	0	0	1	2	2	0	0	0	2	0	0	0	0	1	1
OTU_2836	2	2	4	0	2	2	4	4	3	0	1	0	1	2	1	0	2	4
OTU_2838	0	0	1	0	2	0	4	11	0	0	0	2	0	0	2	0	3	1
OTU_284	11	14	18	9	11	40	10	25	5	40	11	30	8	5	11	29	9	10
OTU_2840	2	0	1	1	0	0	3	4	0	0	1	1	0	2	4	2	1	1
OTU_2841	1	2	3	4	3	1	2	1	1	0	1	3	1	1	1	2	2	2
OTU_2842	0	0	10	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
OTU_2844	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2845	0	0	1	0	2	0	3	2	1	1	1	1	1	2	0	2	0	2
OTU_2847	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_2848	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2849	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_285	20	14	10	13	4	15	11	19	23	13	16	22	13	13	19	25	9	23
OTU_2850	0	1	1	1	1	2	4	4	0	5	2	2	1	0	2	1	1	2
OTU_2851	1	2	2	0	1	1	5	4	1	3	3	1	4	3	3	0	2	1
OTU_2852	1	0	4	2	0	0	3	3	3	1	2	3	3	4	1	3	2	1
OTU_2853	0	0	4	0	0	0	3	2	2	1	1	4	0	0	2	1	0	4
OTU_2854	2	0	0	2	0	0	2	0	1	1	0	0	1	1	0	1	1	9
OTU_2856	1	1	0	3	0	1	1	0	1	1	1	0	1	0	1	2	2	0
OTU_2857	4	0	0	2	1	2	4	2	0	2	3	0	0	0	0	4	0	1
OTU_2858	0	0	0	1	1	0	4	1	0	0	0	3	0	3	0	0	0	0
OTU_2859	8	3	1	6	2	2	7	6	3	5	6	13	5	2	4	2	3	4
OTU_286	19	14	12	15	5	6	45	23	15	17	15	25	12	21	24	18	9	21
OTU_2860	0	0	0	2	0	2	2	0	1	3	0	2	1	0	0	1	0	0
OTU_2861	2	1	0	1	0	0	3	0	3	2	2	2	0	1	1	0	0	0
OTU_2862	1	0	0	1	1	0	3	1	0	2	3	0	0	1	0	0	1	2
OTU_2864	0	0	1	2	0	0	4	0	2	1	0	0	1	0	1	0	0	0
OTU_2865	0	0	0	2	0	1	2	0	0	1	2	1	2	0	1	0	0	0
OTU_2866	1	1	0	2	2	2	1	7	1	2	1	0	0	4	0	0	1	1
OTU_2868	1	0	0	2	0	1	2	2	1	2	1	1	5	0	0	2	2	2
OTU_2869	0	0	0	2	1	2	1	0	2	1	2	0	0	0	3	3	2	4
OTU_287	10	10	22	17	8	28	23	17	15	7	28	22	5	18	20	20	5	6
OTU_2870	1	0	0	5	0	0	3	2	2	3	1	1	2	0	0	0	0	1
OTU_2872	0	0	0	2	1	0	1	1	0	2	2	1	0	2	1	1	2	1
OTU_2873	1	4	2	2	2	2	4	1	5	3	2	0	2	2	2	1	2	1
OTU_2874	0	0	0	0	2	0	1	0	3	1	1	1	0	0	1	2	2	2
OTU_2875	1	1	1	1	1	1	4	0	4	4	2	2	1	2	4	1	1	0
OTU_2876	2	1	1	2	1	2	4	1	3	0	1	2	2	0	1	1	1	2
OTU_2877	2	3	0	0	2	0	3	0	0	0	4	2	0	2	1	0	1	2
OTU_2878	0	0	0	0	3	1	0	1	1	0	3	1	1	0	2	2	1	1
OTU_2879	2	1	0	1	0	2	2	0	1	4	2	1	2	3	0	1	1	6
OTU_288	14	18	19	15	14	17	20	26	12	11	26	28	23	21	19	14	15	18
OTU_2880	2	0	0	0	0	1	0	1	1	2	0	1	2	0	2	1	2	0
OTU_2881	2	0	2	0	0	7	1	5	1	0	1	8	0	0	0	0	0	0
OTU_2882	1	1	0	1	2	1	4	3	4	0	3	4	1	1	1	0	0	2
OTU_2883	1	0	0	1	0	2	1	2	2	1	2	1	2	1	2	1	0	0
OTU_2884	0	0	0	0	0	3	11	2	3	0	3	2	1	0	1	4	0	1
OTU_2885	2	1	0	0	0	1	0	1	1	4	1	0	1	0	2	0	1	0
OTU_2886	2	2	0	0	0	1	2	0	0	0	1	2	2	2	0	2	3	0
OTU_2887	0	1	2	0	2	1	5	4	3	2	5	3	2	0	2	2	0	0
